AA_CRSE;NUM_CRSE_PERM;NUM_CRSE_DIV;NUM_CRSE_DUPL;NUM_CRSE_PGM;LB_CRSE;D_REU;C_FED;N_ORD_HIP;NUM_ID_SOC;Y_CRSE;Y_QUALIF;C_PARCO;C_CRD;DIST_PARCO;C_CATEG_CRSE;C_Y_CRSE;C_Y_CRSE_2;C_Y_CRSE_3;C_Y_CRSE_4;C_Y_CRSE_5;C_DIS;C_SP;C_MEET;C_CHAL;Z_MAX_PART;Z_MIN_PART;NUM_CRSE_PMH;NUM_CRSE_PMU;H_DEB_OPER;H_DEP_CRSE;I_CND_ICPT;I_CND_VAL;C_BRME_DECL;C_DECL_MNTE;REF_CRSE_1;REF_CRSE_2;REF_CRSE_3;I_CRSE_EVT_PMU;C_PMU;C_PMH;I_ELIM_PART;C_ETAT_VAL_CRSE;D_MAJ_ETA_AVCT_CRS;Z_ENG_CRSE;Z_ENG_NUL;Z_ENG_NON_VAL;Z_ENG_SUPL;Z_FORF_1;Z_FORF_2;Z_FORF_3;Z_FORF_4;Z_FORF_5;Z_NDP;Z_ANUL_PART;Z_DECL_PART;Z_ELIM_PRIO;Z_ELIM_RETI;Z_DPNP;Z_DPNP_CF;Z_DPNP_CERTF_VETO;Z_DPNP_SJ;Z_CH_DPNP_AU;Z_CH_TOMB_HAI_ESS;C_CRI_AG;C_CRI_SEXE;C_CRI_RACE;I_CND_G_DROIT_PRIM;C_CRI_LI_NAI;C_CRI_LI;D_DEB_ENTR_CND_G;C_CRI_PROP;I_CND_G_BREE;CND_G_VALE_MIN;CND_G_VALE_MAX;C_CRI_MNTE;C_CRSE_BT;I_CND_SDC_ART_115;VAL_PX_NOMI;C_REPART_PX;I_CRSE_FC;D_PUB_PDS;HH_PUB_PDS;C_ETAT_VAL_PUB;REF_LIM;PDS_MIN_HDC;PDS_MAX_HDC;CND_P_CRI_AG_1;CND_P_VALE_PDS_1;CND_P_CRI_AG_2;CND_P_VALE_PDS_2;CND_P_CRI_AG_3;CND_P_VALE_PDS_3;I_CRSE_REPSUP;CATEG_HIPP;AUPREMIER;I_PDS_MIN;Z_ENG_SUPL_2;C_CLA_CRSE;C_M_DEPART;Z_DPNP_DEPART;Z_ENG_2;D_MAJ_TS
2007;96138;0;0;3179;PRIX JACQUES DE WATRIGANT;20070116;05;39;516685;PA;PA;Z3;D;1900;40;;;;;;P;P;0002;;18;1;2;6;1620;1645;N;V;100;MO;270;0;0;P;02;T;;PV;20070621;23;1;1;1;4;0;0;0;0;6;1;10;0;0;1;0;1;0;0;0;44;7;11;N;;;0;;N;0;0;;;O;18000;002;O;20070110;93000;V;0;510;0;44;0;;0;;0;;1N;9000;N;0;;;0;0;2017-02-05 01:27:42
2007;46;0;0;3000;PRIX DES PALMIERS;20070117;06;04;516486;PA;PA;69;G;1500;54;01;;;;;P;P;0001;;18;1;7;1;1330;1355;O;V;100;MO;0;0;0;P;02;T;;PV;20070123;19;0;1;0;0;0;0;0;0;2;2;14;0;0;0;0;0;0;0;0;33;7;11;N;;;0;;N;0;0;;F;O;17000;002;O;0;0;;0;0;0;33;580;;0;;0;R;1N;8500;;0;;;0;0;2017-02-05 01:27:42
2007;34;10;0;3008;PRIX CHARLES GASTAUD;20070117;06;04;516486;PA;PA;69;G;1500;44;;;;;;P;P;0001;;18;1;1;5;1530;1600;N;V;100;MO;200;0;0;E;13;T;;PV;20070228;47;0;3;0;10;0;0;0;0;8;8;18;0;0;1;0;1;0;0;0;50;7;11;N;;;0;;N;0;0;;;N;48000;003;O;20070111;93000;V;0;510;0;50;0;;0;;0;;1N;22560;N;0;;;0;0;2017-02-05 01:27:42
2007;95633;10;0;3009;PRIX D'AIX EN PROVENCE;20070117;06;04;516486;PA;PA;Z6;G;2400;44;;;;;;P;P;0001;;16;1;2;3;1430;1455;N;V;100;MO;230;250;0;P;06;T;;PV;20070228;60;0;2;0;18;0;0;0;0;18;6;16;0;0;0;0;0;0;0;0;40;7;11;N;;;0;;N;0;0;;;O;20000;002;O;20070111;93000;V;0;510;0;44;0;50;0;;0;;1N;10000;N;0;;;0;0;2017-02-05 01:27:42
2007;95633;20;0;3010;PRIX DES MILLES;20070117;06;04;516486;PA;PA;Z6;G;2400;44;;;;;;P;P;0001;;15;1;3;7;1635;1700;N;V;100;MO;315;335;0;P;02;T;;PV;20070131;15;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;40;7;11;N;;;0;;N;0;0;;;O;17000;002;O;20070111;93000;V;0;510;0;40;0;;0;;0;;1N;8500;N;0;;;0;0;2017-02-05 01:27:42
2007;105;0;0;3011;PRIX DES GLAIEULS;20070117;06;04;516486;PA;PA;Z6;G;2400;31;;;;;;P;P;0001;;16;1;4;2;1400;1425;O;V;100;MO;0;0;0;P;02;T;;PV;20070307;28;1;0;0;5;0;0;0;0;6;3;13;0;0;0;0;0;0;0;0;44;7;11;N;;;0;;N;0;0;;;O;14000;002;O;0;14;;0;0;0;44;560;;0;;0;;1N;7000;;0;;;0;0;2017-02-05 01:27:42
2007;34;20;0;3012;PRIX DE TUNIS-KASSAR-SAID;20070117;06;04;516486;PA;PA;69;G;1500;44;;;;;;P;P;0001;;14;8;5;6;1605;1630;N;V;100;MO;290;0;0;P;39;T;;PV;20070228;14;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;50;7;11;N;;;0;;N;0;0;;;O;23000;002;O;20070111;93000;V;0;510;0;50;0;;0;;0;;1N;11500;N;0;;;0;0;2017-02-05 01:27:42
2007;94728;0;0;3013;PRIX DE SAINT TROPEZ;20070117;06;04;516486;PA;PA;Z6;G;2400;31;;;;;;P;P;0001;;16;1;6;4;1500;1525;O;V;100;MO;0;0;0;P;02;T;;PV;20070228;32;1;0;2;5;0;0;0;0;12;3;11;0;0;0;0;0;0;0;0;50;7;11;N;;;0;;N;0;0;;;O;14000;002;O;0;0;;0;0;0;50;560;;0;;0;;1N;7000;;0;;;0;0;2017-02-05 01:27:42
2007;4647;0;0;3057;PRIX DE GRAMONT;20070118;05;39;516685;PA;PA;04;;3500;54;;;;;;H;O;0002;;18;1;1;1;1315;1340;N;V;100;MO;0;0;0;P;02;T;;PV;20070525;45;0;4;0;22;0;0;0;0;9;1;9;0;0;0;0;0;0;0;0;44;4;19;N;;;0;;N;0;0;;;N;28000;011;O;0;0;;0;610;0;44;650;;0;;0;;1N;13440;;0;;;0;0;2017-02-05 01:27:42
2007;4684;0;0;3058;PRIX DE GABAS;20070118;05;39;516685;PA;PA;04;;3500;31;;;;;;H;O;0002;;18;1;2;5;1515;1540;N;V;100;MO;0;0;0;P;02;T;;PV;20070226;28;0;0;0;6;0;0;0;0;5;1;16;0;0;0;0;0;0;0;0;44;3;19;N;;;0;;N;0;0;;;N;16000;011;O;0;0;;0;610;0;44;660;;0;;0;;1N;7680;;0;;;0;0;2017-02-05 01:27:42
